Order ID,Customer ID,Employee ID,Required Model Type,Required Accuracy,Order Date,Completion Date,Model ID,Price
S231255,c0058,e00010,NN,60.31,2023/11/25,2023/12/05,m0008,676
S210837,c0032,e00019,kNN,68.01,2021/09/25,2021/12/07,m0034,125
S210316,c0032,e00004,LR,70.39,2021/10/12,2021/12/17,m0075,266
S221093,c0014,e00014,NN,61.75,2022/03/25,2022/10/05,m0023,399
S210253,c0016,e00016,SVM,56.6,2021/10/22,2021/12/06,m0056,236
S230029,c0057,e00003,NN,50.32,2023/03/17,2023/03/31,m0008,481
S220148,c0059,e00013,SVM,76.89,2022/06/08,2022/08/25,m0079,467
S230586,c0055,e00011,RF,61.17,2023/07/20,2023/10/18,m0025,416
S220391,c0043,e00003,DT,60.17,2022/07/19,2022/09/18,m0018,439
S220954,c0016,e00016,SVM,65.98,2022/04/08,2022/07/28,m0012,442
S230598,c0020,e00020,RF,53.61,2023/05/16,2023/06/03,m0025,557
S210830,c0050,e00001,LR,52.04,2021/06/04,2021/06/13,m0045,207
S220860,c0035,e00001,NB,70.85,2022/04/17,2022/08/10,m0015,377
S210088,c0057,e00009,logR,58.8,2021/03/11,2021/10/30,m0044,231
S210674,c0020,e00020,RF,75.31,2021/03/06,2021/07/04,m0077,191
S220386,c0015,e00003,NN,57.47,2022/04/26,2022/10/30,m0043,419
S220413,c0060,e00016,NB,60.24,2022/03/16,2022/11/04,m0040,445
S220092,c0014,e00014,NN,54.63,2022/12/23,2022/12/24,m0058,251
S220184,c0021,e00022,logR,75.68,2022/01/16,2022/04/09,m0082,401
S220113,c0065,e00019,NB,54.42,2022/09/21,2022/12/29,m0052,280
S230752,c0009,e00007,NN,61.33,2023/09/24,2023/10/16,m0043,424
S230282,c0014,e00014,NN,75.05,2023/01/30,2023/07/22,m0081,576
S230800,c0042,e00020,NN,53.55,2023/11/18,2023/12/13,m0081,592
S230851,c0057,e00004,NN,66.49,2023/05/22,2023/11/26,m0008,418
S231308,c0044,e00010,DT,72.32,2023/11/16,2023/11/21,m0031,432
S230123,c0060,e00002,NN,70.09,2023/03/05,2023/11/13,m0023,648
S230943,c0019,e00007,kNN,77.3,2023/10/27,2023/11/17,m0004,498
S220166,c0017,e00016,NB,57.02,2022/09/05,2022/12/15,m0078,235
S210098,c0001,e00003,DT,61.07,2021/11/23,2021/11/24,m0076,186
S210577,c0069,e00007,logR,63.31,2021/06/18,2021/08/25,m0066,118
S230860,c0065,e00020,logR,56.05,2023/04/03,2023/12/26,m0051,492
S230585,c0014,e00014,NN,58.73,2023/01/21,2023/06/19,m0035,563
S231122,c0007,e00011,LR,68.28,2023/01/16,2023/01/29,m0030,640
S220494,c0015,e00013,DT,74.94,2022/12/29,2022/12/30,m0046,240
S210457,c0002,e00022,logR,71.8,2021/01/12,2021/08/31,m0059,153
S231402,c0014,e00014,NN,63.36,2023/04/04,2023/12/13,m0081,561
S220546,c0042,e00021,DT,51.63,2022/01/25,2022/06/20,m0018,356
S220257,c0014,e00014,NN,67.65,2022/08/31,2022/09/28,m0043,484
S220482,c0044,e00020,NB,52.65,2022/08/01,2022/11/09,m0015,355
S220821,c0012,e00012,NN,58.49,2022/01/25,2022/10/21,m0065,470
S231323,c0053,e00006,NN,67.59,2023/04/09,2023/10/03,m0035,557
S210519,c0016,e00016,SVM,67.94,2021/06/08,2021/06/27,m0048,135
S231261,c0063,e00014,NN,51.28,2023/10/30,2023/11/09,m0035,546
S230291,c0008,e00013,RF,63.78,2023/02/28,2023/09/10,m0006,528
S221081,c0043,e00005,LR,67.54,2022/07/12,2022/12/26,m0017,452
S210014,c0053,e00002,LR,72.73,2021/03/31,2021/07/03,m0017,207
S220509,c0017,e00007,NN,51.81,2022/03/31,2022/05/15,m0073,402
S220312,c0038,e00008,LR,55.57,2022/09/09,2022/12/14,m0030,476
S210021,c0014,e00014,NN,50.51,2021/06/08,2021/10/28,m0058,203
S210639,c0008,e00015,DT,52.07,2021/10/22,2021/11/06,m0005,205
S230369,c0053,e00002,LR,66.45,2023/04/16,2023/06/06,m0030,697
S230088,c0014,e00014,NN,60.48,2023/08/05,2023/08/24,m0050,639
S220381,c0002,e00006,kNN,59.71,2022/02/25,2022/05/02,m0004,343
S230647,c0045,e00005,NN,62.77,2023/04/03,2023/11/29,m0081,484
S230723,c0053,e00019,logR,57.16,2023/09/21,2023/10/01,m0007,668
S210713,c0050,e00007,NN,51.65,2021/01/29,2021/03/08,m0058,112
S220044,c0014,e00014,NN,54.4,2022/12/06,2022/12/27,m0058,230
S210294,c0034,e00020,NB,72.43,2021/08/31,2021/12/08,m0015,260
S230089,c0016,e00016,SVM,60.88,2023/06/10,2023/07/16,m0027,617
S210251,c0066,e00006,NB,51.09,2021/08/21,2021/12/04,m0040,248
S220959,c0015,e00007,LR,66.22,2022/10/02,2022/11/18,m0009,442
S220661,c0032,e00022,kNN,74.47,2022/07/29,2022/10/13,m0072,254
S231145,c0014,e00014,NN,77.8,2023/08/11,2023/12/07,m0002,452
S220089,c0034,e00001,NN,53.28,2022/08/02,2022/08/24,m0065,310
S220458,c0024,e00012,SVM,56.98,2022/03/24,2022/05/27,m0056,281
S231028,c0054,e00021,kNN,52.62,2023/02/07,2023/09/01,m0064,420
S220112,c0021,e00002,LR,63.46,2022/10/22,2022/12/25,m0030,477
S210033,c0016,e00016,SVM,67.96,2021/12/10,2021/12/20,m0048,195
S231155,c0049,e00019,NN,55.91,2023/11/12,2023/11/13,m0065,574
S210336,c0063,e00009,LR,61.32,2021/07/23,2021/08/08,m0053,105
S220810,c0014,e00014,NN,60.17,2022/11/20,2022/12/28,m0073,303
S220681,c0014,e00014,NN,69.78,2022/06/05,2022/10/31,m0050,383
S230233,c0057,e00008,DT,51.21,2023/03/26,2023/04/30,m0061,679
S230223,c0028,e00010,NN,76.22,2023/05/14,2023/08/07,m0043,441
S220122,c0040,e00017,SVM,74.98,2022/09/05,2022/09/13,m0056,325
S220755,c0057,e00013,LR,54.15,2022/03/21,2022/07/05,m0030,439
S230052,c0029,e00005,logR,59.19,2023/05/16,2023/10/27,m0014,652
S220061,c0066,e00002,NB,72.85,2022/07/29,2022/12/02,m0029,399
S220028,c0003,e00001,NN,52.16,2022/09/05,2022/10/28,m0023,434
S231026,c0025,e00003,NN,73.12,2023/05/27,2023/08/11,m0050,535
S221077,c0012,e00001,NN,50.54,2022/07/03,2022/08/02,m0058,485
S210215,c0063,e00001,NN,71.02,2021/05/22,2021/08/05,m0023,174
S230101,c0014,e00014,NN,68.74,2023/04/29,2023/06/16,m0050,589
S210165,c0042,e00009,RF,69.87,2021/07/01,2021/09/17,m0062,281
S231031,c0034,e00005,kNN,55.29,2023/09/10,2023/11/25,m0080,540
S220308,c0052,e00007,NB,50.68,2022/10/08,2022/12/16,m0052,416
S220452,c0053,e00006,NB,63.64,2022/04/29,2022/10/08,m0052,434
S220604,c0069,e00011,NN,51.87,2022/02/19,2022/10/28,m0073,252
S220600,c0016,e00018,DT,67.04,2022/06/02,2022/07/05,m0054,261
S220315,c0031,e00006,NN,69.65,2022/04/27,2022/07/06,m0002,285
S220589,c0053,e00022,DT,73.5,2022/08/21,2022/10/13,m0054,395
S230961,c0014,e00014,NN,72.7,2023/10/31,2023/11/10,m0065,545
S231270,c0009,e00005,NN,66.2,2023/08/23,2023/09/04,m0058,537
S210100,c0018,e00014,LR,67.44,2021/01/24,2021/05/24,m0075,138
S210689,c0033,e00012,NB,65.08,2021/01/21,2021/07/17,m0040,104
S220884,c0014,e00014,NN,59.61,2022/09/14,2022/10/12,m0002,434
S210404,c0028,e00004,LR,59.65,2021/05/24,2021/09/15,m0017,237
S220729,c0005,e00012,logR,67.36,2022/03/01,2022/04/30,m0044,305
S220240,c0031,e00003,LR,76.73,2022/09/12,2022/12/14,m0053,226
S231224,c0058,e00006,NN,52.92,2023/10/19,2023/12/13,m0035,506
S230509,c0008,e00015,NN,67.53,2023/08/24,2023/11/16,m0058,407
S230919,c0029,e00008,LR,74.36,2023/02/11,2023/12/06,m0075,545
S230696,c0053,e00015,NN,71.37,2023/06/16,2023/08/27,m0008,512
S220301,c0008,e00006,LR,66.35,2022/02/05,2022/08/28,m0045,348
S220433,c0029,e00006,logR,59.74,2022/06/03,2022/11/03,m0066,364
S230078,c0024,e00004,NN,52.44,2023/05/01,2023/06/02,m0050,643
S230094,c0022,e00005,SVM,56.23,2023/01/21,2023/12/24,m0012,407
S220791,c0007,e00007,NN,68.38,2022/07/22,2022/08/16,m0050,265
S210491,c0023,e00010,LR,71.22,2021/02/28,2021/10/04,m0037,215
S220984,c0016,e00016,SVM,56.88,2022/07/18,2022/12/05,m0041,261
S230323,c0029,e00018,NB,58.59,2023/05/13,2023/05/14,m0029,636
S220764,c0013,e00021,RF,59.87,2022/09/07,2022/11/05,m0001,226
S210471,c0065,e00016,SVM,66.52,2021/03/11,2021/07/16,m0003,165
S230664,c0051,e00022,NN,65.06,2023/03/08,2023/04/30,m0058,482
