Order ID,Order Date,Completion Date,Required Accuracy,Price,Required Model Type,Customer ID,Employee ID,Model ID
S231255,2023-11-25,2023-12-05,60.31,676,NN,c0058,e00010,m0008
S210837,2021-09-25,2021-12-07,68.01,125,kNN,c0032,e00019,m0034
S210316,2021-10-12,2021-12-17,70.39,266,LR,c0032,e00004,m0075
S221093,2022-03-25,2022-10-05,61.75,399,NN,c0014,e00014,m0023
S210253,2021-10-22,2021-12-06,56.6,236,SVM,c0016,e00016,m0056
S230029,2023-03-17,2023-03-31,50.32,481,NN,c0057,e00003,m0008
S220148,2022-06-08,2022-08-25,76.89,467,SVM,c0059,e00013,m0079
S230586,2023-07-20,2023-10-18,61.17,416,RF,c0055,e00011,m0025
S220391,2022-07-19,2022-09-18,60.17,439,DT,c0043,e00003,m0018
S220954,2022-04-08,2022-07-28,65.98,442,SVM,c0016,e00016,m0012
S230598,2023-05-16,2023-06-03,53.61,557,RF,c0020,e00020,m0025
S210830,2021-06-04,2021-06-13,52.04,207,LR,c0050,e00001,m0045
S220860,2022-04-17,2022-08-10,70.85,377,NB,c0035,e00001,m0015
S210088,2021-03-11,2021-10-30,58.8,231,logR,c0057,e00009,m0044
S210674,2021-03-06,2021-07-04,75.31,191,RF,c0020,e00020,m0077
S220386,2022-04-26,2022-10-30,57.47,419,NN,c0015,e00003,m0043
S220413,2022-03-16,2022-11-04,60.24,445,NB,c0060,e00016,m0040
S220092,2022-12-23,2022-12-24,54.63,251,NN,c0014,e00014,m0058
S220184,2022-01-16,2022-04-09,75.68,401,logR,c0021,e00022,m0082
S220113,2022-09-21,2022-12-29,54.42,280,NB,c0065,e00019,m0052
S230752,2023-09-24,2023-10-16,61.33,424,NN,c0009,e00007,m0043
S230282,2023-01-30,2023-07-22,75.05,576,NN,c0014,e00014,m0081
S230800,2023-11-18,2023-12-13,53.55,592,NN,c0042,e00020,m0081
S230851,2023-05-22,2023-11-26,66.49,418,NN,c0057,e00004,m0008
S231308,2023-11-16,2023-11-21,72.32,432,DT,c0044,e00010,m0031
S230123,2023-03-05,2023-11-13,70.09,648,NN,c0060,e00002,m0023
S230943,2023-10-27,2023-11-17,77.3,498,kNN,c0019,e00007,m0004
S220166,2022-09-05,2022-12-15,57.02,235,NB,c0017,e00016,m0078
S210098,2021-11-23,2021-11-24,61.07,186,DT,c0001,e00003,m0076
S210577,2021-06-18,2021-08-25,63.31,118,logR,c0069,e00007,m0066
S230860,2023-04-03,2023-12-26,56.05,492,logR,c0065,e00020,m0051
S230585,2023-01-21,2023-06-19,58.73,563,NN,c0014,e00014,m0035
S231122,2023-01-16,2023-01-29,68.28,640,LR,c0007,e00011,m0030
S220494,2022-12-29,2022-12-30,74.94,240,DT,c0015,e00013,m0046
S210457,2021-01-12,2021-08-31,71.8,153,logR,c0002,e00022,m0059
S231402,2023-04-04,2023-12-13,63.36,561,NN,c0014,e00014,m0081
S220546,2022-01-25,2022-06-20,51.63,356,DT,c0042,e00021,m0018
S220257,2022-08-31,2022-09-28,67.65,484,NN,c0014,e00014,m0043
S220482,2022-08-01,2022-11-09,52.65,355,NB,c0044,e00020,m0015
S220821,2022-01-25,2022-10-21,58.49,470,NN,c0012,e00012,m0065
S231323,2023-04-09,2023-10-03,67.59,557,NN,c0053,e00006,m0035
S210519,2021-06-08,2021-06-27,67.94,135,SVM,c0016,e00016,m0048
S231261,2023-10-30,2023-11-09,51.28,546,NN,c0063,e00014,m0035
S230291,2023-02-28,2023-09-10,63.78,528,RF,c0008,e00013,m0006
S221081,2022-07-12,2022-12-26,67.54,452,LR,c0043,e00005,m0017
S210014,2021-03-31,2021-07-03,72.73,207,LR,c0053,e00002,m0017
S220509,2022-03-31,2022-05-15,51.81,402,NN,c0017,e00007,m0073
S220312,2022-09-09,2022-12-14,55.57,476,LR,c0038,e00008,m0030
S210021,2021-06-08,2021-10-28,50.51,203,NN,c0014,e00014,m0058
S210639,2021-10-22,2021-11-06,52.07,205,DT,c0008,e00015,m0005
S230369,2023-04-16,2023-06-06,66.45,697,LR,c0053,e00002,m0030
S230088,2023-08-05,2023-08-24,60.48,639,NN,c0014,e00014,m0050
S220381,2022-02-25,2022-05-02,59.71,343,kNN,c0002,e00006,m0004
S230647,2023-04-03,2023-11-29,62.77,484,NN,c0045,e00005,m0081
S230723,2023-09-21,2023-10-01,57.16,668,logR,c0053,e00019,m0007
S210713,2021-01-29,2021-03-08,51.65,112,NN,c0050,e00007,m0058
S220044,2022-12-06,2022-12-27,54.4,230,NN,c0014,e00014,m0058
S210294,2021-08-31,2021-12-08,72.43,260,NB,c0034,e00020,m0015
S230089,2023-06-10,2023-07-16,60.88,617,SVM,c0016,e00016,m0027
S210251,2021-08-21,2021-12-04,51.09,248,NB,c0066,e00006,m0040
S220959,2022-10-02,2022-11-18,66.22,442,LR,c0015,e00007,m0009
S220661,2022-07-29,2022-10-13,74.47,254,kNN,c0032,e00022,m0072
S231145,2023-08-11,2023-12-07,77.8,452,NN,c0014,e00014,m0002
S220089,2022-08-02,2022-08-24,53.28,310,NN,c0034,e00001,m0065
S220458,2022-03-24,2022-05-27,56.98,281,SVM,c0024,e00012,m0056
S231028,2023-02-07,2023-09-01,52.62,420,kNN,c0054,e00021,m0064
S220112,2022-10-22,2022-12-25,63.46,477,LR,c0021,e00002,m0030
S210033,2021-12-10,2021-12-20,67.96,195,SVM,c0016,e00016,m0048
S231155,2023-11-12,2023-11-13,55.91,574,NN,c0049,e00019,m0065
S210336,2021-07-23,2021-08-08,61.32,105,LR,c0063,e00009,m0053
S220810,2022-11-20,2022-12-28,60.17,303,NN,c0014,e00014,m0073
S220681,2022-06-05,2022-10-31,69.78,383,NN,c0014,e00014,m0050
S230233,2023-03-26,2023-04-30,51.21,679,DT,c0057,e00008,m0061
S230223,2023-05-14,2023-08-07,76.22,441,NN,c0028,e00010,m0043
S220122,2022-09-05,2022-09-13,74.98,325,SVM,c0040,e00017,m0056
S220755,2022-03-21,2022-07-05,54.15,439,LR,c0057,e00013,m0030
S230052,2023-05-16,2023-10-27,59.19,652,logR,c0029,e00005,m0014
S220061,2022-07-29,2022-12-02,72.85,399,NB,c0066,e00002,m0029
S220028,2022-09-05,2022-10-28,52.16,434,NN,c0003,e00001,m0023
S231026,2023-05-27,2023-08-11,73.12,535,NN,c0025,e00003,m0050
S221077,2022-07-03,2022-08-02,50.54,485,NN,c0012,e00001,m0058
S210215,2021-05-22,2021-08-05,71.02,174,NN,c0063,e00001,m0023
S230101,2023-04-29,2023-06-16,68.74,589,NN,c0014,e00014,m0050
S210165,2021-07-01,2021-09-17,69.87,281,RF,c0042,e00009,m0062
S231031,2023-09-10,2023-11-25,55.29,540,kNN,c0034,e00005,m0080
S220308,2022-10-08,2022-12-16,50.68,416,NB,c0052,e00007,m0052
S220452,2022-04-29,2022-10-08,63.64,434,NB,c0053,e00006,m0052
S220604,2022-02-19,2022-10-28,51.87,252,NN,c0069,e00011,m0073
